time,value
0,1.0
1,0.9048374180359595
2,0.8187307530779817
3,0.7408182206817177
4,0.6703200460356391
5,0.6065306597126332
6,0.5488116360940262
7,0.49658530379140925
8,0.44932896411722134
9,0.4065696597405989
10,0.3678794411714421
11,0.33287108369807933
12,0.30119421191220186
13,0.27253179303401237
14,0.24659696394160624
15,0.2231301601484296
16,0.2018965179946552
17,0.18268352405273444
18,0.16529888822158634
19,0.14956861922263487
20,0.1353352832366125
21,0.12245642825298174
22,0.11080315836233372
23,0.10025884372280358
24,0.09071795328941236
25,0.08208499862389866
26,0.07427357821433375
27,0.06720551273974965
28,0.060810062625217855
29,0.05502322005640713
30,0.04978706836786385
31,0.04504920239355772
32,0.040762203978366135
33,0.03688316740123993
34,0.03337326996032601
35,0.030197383422318435
36,0.0273237224472925
37,0.024723526470339336
38,0.022370771856165546
39,0.020241911445804343
40,0.018315638888734137
41,0.016572675401761206
42,0.014995576820477668
43,0.013568559012200897
44,0.01227733990306841
45,0.011108996538242278
46,0.010051835744633555
47,0.009095277101695793
48,0.008229747049020006
49,0.007446583070924319
50,0.006737946999085447
51,0.006096746565515618
52,0.005516564420760756
53,0.004991593906910201
54,0.004516580942612655
55,0.0040867714384640545
56,0.0036978637164829195
57,0.0033459654574712625
58,0.0030275547453758054
59,0.0027394448187683606
60,0.0024787521766663503
61,0.002242867719485795
62,0.0020294306362957275
63,0.0018363047770289006
64,0.0016615572731739287
65,0.0015034391929775672
66,0.0013603680375478884
67,0.0012309119026734767
68,0.001113775147844799
69,0.001007785429048507
70,0.0009118819655545128
71,0.0008251049232659011
72,0.0007465858083766765
73,0.0006755387751938416
74,0.0006112527611295701
75,0.0005530843701478314
76,0.0005004514334406087
77,0.0004528271828867952
78,0.000409734978979785
79,0.0003707435404590868
80,0.0003354626279025104
81,0.0003035391380788653
82,0.0002746535699721411
83,0.00024851682710795087
84,0.00022486732417884722
85,0.00020346836901064322
86,0.00018410579366757825
87,0.00016658581098763262
88,0.00015073307509547588
89,0.00013638892648201078
90,0.00012340980408667894
91,0.00011166580849011418
92,0.00010103940183709285
93,9.142423147817288e-05
94,8.272406555663184e-05
95,7.48518298877002e-05
96,6.772873649085352e-05
97,6.128349505322177e-05
98,5.545159943217668e-05
99,5.0174682056175025e-05
